ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0               26.1     0.40127      1.1354    0.030259      9.5939        1.67     0.33016
1              38.19    -0.02174      0.3054    0.042925      6.8389      1.4406     0.66899
2              19.22     0.12249      6.8595      0.1943      9.3907       1.318     0.38225
3            -9.2321    0.091409      1.2279    0.053123     -3.6664     0.84495     0.59321
4             31.378     0.43914     0.32854     0.35451       14.17      2.2769    -0.51981
5             38.086     0.67952       2.779     0.35823      15.804      1.9172    -0.51168
6             41.017    -0.17908      1.1656     0.12923      10.486      1.7942     0.70616
7             79.739      0.8523      3.1167      0.1654      19.689      2.3061    -0.19904
8             27.364     0.14156     0.59347     0.18611      13.851      1.8477   0.0093794
9              21.04    -0.13278     0.41406   -0.088624      14.085      1.6756    -0.13075
10            7.0665     0.43521      0.8961      0.1298      3.2328      1.2139     0.46159
11            17.895   -0.007963     0.08756   -0.054513      2.1924      1.2579     0.30698
12            113.24    -0.11808       0.269     0.20283      17.843       19.74     0.52537
13            15.174     0.21749      2.2789     0.38161       8.329      1.3742     0.13411
14            202.65     0.11113     0.04576    0.073714      75.833      19.406     -2.5758
15            64.688     0.43921     0.11701     0.11466      25.231      5.0437    -0.87203
16            32.271     0.31993       3.437     0.59134      13.104      1.6472     0.17343
17            25.991    -0.23553     0.32754    0.066677      12.414      2.3653    -0.14724
18            11.287     0.45302     0.46365    0.061125      2.8011      1.2316      0.4552
19            147.16     0.28298   -0.024714    0.037907      17.446      3.5681     -1.1223
20            82.306     0.73754      1.5648     0.49428      32.187      3.6363     -1.0813
21            23.327     0.41318    0.098386    0.083951      12.144      2.0413    -0.46103
22            16.286    0.066023    0.086142    0.098649      3.3406      1.4134     0.12658
23            5.3723    0.079973      0.1206    0.045968      2.3876      1.1552    0.021451
24           -5.4857    -0.38876   -0.001075  -0.0068509    -0.86489     0.91234   -0.021379
26           -11.648     0.18643     0.40585     0.18152     -3.6992     0.70488      0.6073
27            -3.047    0.044242     0.04083    0.025272     -1.0903     0.90574     0.26548
28            30.356     -0.0322     0.19389     0.10847      15.725      2.7258     0.20725
29            25.532     0.14566      1.1115     0.17009      9.3017      1.4118       0.269
30           -2.0688     0.11443    0.011175     0.21125     -1.1468     0.91159      0.3822
31            75.691    0.083781     0.80291     0.32627      12.014      2.1288    -0.30521
32            231.77    0.091718     0.71105     0.19652       42.67      9.4819     0.38374
33           -21.842      0.2137    0.020134    0.066111     -5.8951     0.70579     0.46073
34            1.9541  -0.0018933    0.053357    0.012495      0.5483      1.0376    0.058337
35            16.067     0.17919   -0.022853     0.13558      5.0068      1.7782    -0.27823
36            162.83     0.29763      1.3868     0.27749       25.35      3.5613    -0.31013
