ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             11.147    -0.45736      0.3681    0.037182      9.8904       2.286    0.081161
1             5.1036     0.20772      0.8082     0.25649      3.6821      1.3354     0.44987
2             5.7217    -0.34632   0.0099895     0.26166      5.5353      1.5254     0.54206
3           -0.41594   -0.082561     0.34978     0.10892    -0.17206     0.98423   -0.016133
4             2.0328     0.68843      0.2405   -0.075474      1.0717      1.1008     0.15801
5             12.234     0.69433      0.2109     0.55997      4.4787      1.7177    -0.86501
6              15.34     0.44151    0.024581     0.51439      8.8112       2.386     0.01847
7              6.632     0.46901    0.034052     0.37331      4.8195      2.3615     -1.1821
8             13.069     0.25554     0.51334     0.34826      4.1053      1.8444     0.52895
9             7.1014     0.43868     0.18857     0.15316      6.2233      1.4251    -0.20751
10            6.5957     0.39036   -0.056937      0.1387      1.5056      1.2701     -0.1084
11            11.816    0.050606     0.18947      0.3815       11.37      2.7134    -0.52343
12            10.998     0.11734   -0.014441     0.21169      12.484      3.2447     -1.4262
13            113.45    -0.08702     0.05475     0.11586       19.52       13.25     0.50194
14         -0.087261     0.42663    0.083982     0.13434   -0.048749     0.99508     0.25414
15            3.1803     0.20061    0.022593       0.232      1.3455      1.2494     0.27286
16             8.787     0.12492    0.086392    0.093342      2.9589      1.6774    -0.10236
17            132.42    -0.25943   -0.022443   -0.085124       53.79     -71.085     -6.8526
18            2.8308    -0.26337    0.031623    0.027973     0.62569      1.0833     0.49405
19            5.6894     0.39059   -0.056329     0.11329      2.7152      1.3308    0.096237
20           -2.0472    -0.17223     -0.1166      0.1801     -1.0621     0.91934     0.21734
21            2.2025     0.52875   -0.019298     0.42555      1.5761       1.233     0.34852
22            1.6771     -0.2185   -0.060709  -0.0052559     0.82782       1.101     0.88954
23            23.428     0.35286     0.41286     0.90544      23.062      2.0243    -0.54716
24            21.777     0.16547     0.57851     0.36341      7.3338      2.0171      0.1667
25          -0.88654     0.55707     0.11775  -0.0094875     -1.1876     0.93005   -0.065181
26          0.083098    -0.47256     0.20394     0.16305    0.068431      1.0075      0.4689
27            7.7737    0.061045    -0.10028     0.25402      2.1184       1.244    -0.57497
28            3.1276    0.075352   -0.054599    0.015454      6.1931       1.779    -0.93389
29            33.649     0.31026    0.047438     0.90778      10.226      3.2197    -0.18028
30             17.37     0.37711   -0.054651     0.01499      5.2198     -1.4385      -0.642
31            23.806    0.038764   -0.068861      1.2885      10.835      2.6974     -1.7565
32            7.7863     0.36485    0.024791     0.13632      6.5298      2.4036     0.46754
33            10.321    -0.20156     0.05434     0.15279      2.3763      1.6638        0.29
34           -7.9843     0.74544    0.052164     0.27431     -4.4871     0.71774    0.029406
35            11.737     0.28372   -0.094477      0.4002      5.9214      1.8286      -0.547
36           0.81723     0.30946   -0.091555     0.14668     0.68793      1.0986    -0.62362
37             2.608     0.25098   -0.022246     0.24402      2.9193      1.3071    -0.23543
38            15.939     0.12623   -0.051674   -0.030219       3.829    -0.70015   -0.075845
39            4.8879    -0.41721    0.025698     0.13883      5.7433       2.258     -1.1283
40            33.287   -0.086116      0.2961     0.25768      2.7834      1.8823     0.66677
41           -14.568     -0.1636     0.20094     0.25991      -4.571     0.61502     0.90754
42            31.804     0.13933     0.16515     0.67653      13.545      3.3212     0.27323
43            5.0312    0.020468    0.037343    0.061057       3.315      1.4956   0.0079056
44            15.492     -0.2993   0.0029914     0.05943      16.145      2.4083    -0.92719
45            3.2883     0.19732   -0.059415     0.12802       4.702      1.8449     -1.5397
46            8.9404    -0.11244   0.0068791     0.49545      7.0572      1.5695    -0.29576
47            76.937    -0.25003     0.22871     0.22022       29.19      14.483    -0.85006
48           -12.319    0.019974   -0.042871   -0.021113     -3.4604     0.68277     0.34023
49           -2.3561     0.36075    0.048561      0.1632    -0.96862     0.89401    -0.50356
50            3.9936    -0.40611    -0.10677     0.14802      2.3842      1.3344     -1.7038
52            6.9275   -0.058048      0.3819     0.12255      2.9363      1.2654       0.367
55            16.822    -0.39678     0.04312     0.10894      8.6727    -0.67243    0.098071
56            9.0029     0.25167   -0.068755    0.017231      3.4902      1.8359    -0.28047
57          -0.14166     0.22661    0.035992     0.30738    -0.13866     0.98985     0.50745
58            0.5349    0.017116    0.033917     0.14038     0.34041      1.0447     0.14922
59            11.734     0.14454     0.47964     0.23408      9.6021      2.3764    -0.59164
61            7.1319     0.43847    0.051676     0.72237      7.4272       1.753     -0.8467
62            8.4457     0.38039    0.033676     0.23946      5.4893        1.74     -1.7304
63           0.51217   -0.036237      0.3484   -0.027612    0.058477      1.0101     0.48272
65          -0.19143   -0.019952     0.02039    0.047876   -0.082193       0.993   -0.019821
66            7.8487    -0.14862     0.21673     0.11018      4.0153      1.8613    -0.27022
67           -6.4036   -0.046124     0.29524   -0.060758     -3.1342      0.7896     0.63277
69             2.376   -0.093648     0.64507     0.32714      1.3536      1.1569     0.48098
71            4.9591    -0.26947     0.34541     0.22918      5.8723      1.7615     0.16931
73            13.119   -0.085071  -0.0083063     0.35377      4.7157      3.6207     -1.5701
74            4.2739   -0.065524     0.25376     0.13104      2.3742      1.2301   -0.028228
75            16.779   -0.015058    0.061657     0.41149      4.3724      2.9375     0.35451
76            6.8253     0.37058     0.19372     0.28223      1.8788       1.201       -1.11
77            11.646     0.24557   -0.096126   -0.045481      2.6556      1.8766    -0.88813
78             5.943     0.13411      0.6978     0.47871      5.4732      1.5088     0.48359
79            4.5803      0.2377     0.25259     0.16679      3.6831      1.4815   -0.020718
80            8.3299   -0.013776     0.48194     0.38738      1.8281      1.2064      0.3188
81           0.91891     0.20137   -0.068304     0.14376     0.67683      1.1038     -0.2098
82            4.7131     0.52787      0.2242      0.2051       2.667      1.2912     0.28186
83            1.7111  -0.0051477     0.56243     0.25684      1.9382       1.217     0.24541
84            42.517    -0.13175    0.019592     0.29309      5.2597      2.3818    -0.29461
85            9.3456    0.025477     0.49698     0.17887      2.3084      1.4555    -0.38016
86            23.128     0.26698     0.89994     0.45177      7.3055      2.4967    -0.15859
87            29.599     0.26782     0.07015     0.47561       17.27       7.517      -4.099
88            62.937    -0.48562   -0.045828     0.21749      18.788     -4.6849    -0.32351
89            12.892   -0.019919   -0.052899     0.47211      5.0031      2.5876     -0.6211
90           -1.4706    0.072206    0.080004     0.31647     -1.3292     0.90752    -0.49051
91            15.182     0.50444     0.19574     0.51264      6.7988      2.3829    -0.82286
92            3.2415    -0.25552    0.046615    0.016784     0.55305      1.1664     0.85198
93            9.7886    -0.29091     0.30268     0.51374      6.4251      6.9947     0.55143
94            25.906     0.32387     0.25734     0.28572      14.123      7.3032     -0.6252
96             11.67   -0.089602      0.3601      0.2355      6.7699      3.2189     0.15241
97            16.742   0.0089045     0.20267     0.21387      3.9114     -2.1971     0.19815
98            5.7145   -0.078664  0.00019868     0.11471      2.8666      2.6721     0.97415
99           -2.0346      0.4564   -0.028969     0.12767    -0.74313     0.88148    -0.37044
100           10.165     0.30905   -0.049707   -0.010414      4.9277      5.4694     -2.3128
101           5.9782     0.33646    0.020458     0.13263      3.7867      7.2905      -0.188
102           3.2021       0.302   -0.058676    0.034226      0.5622      1.0985    -0.37459
103           27.472     0.22112   -0.040354    0.039519      1.7337     -457.35    -0.42689
104           9.3846     0.20475    0.070203     0.16599      5.0218      1.8927    -0.80272
105           12.571     0.32018   -0.028893    0.096756      2.8419       1.843     0.55015
106           10.285     0.35696     0.30453     0.51562      2.5412      1.4352     0.25845
107           38.241     0.57219     0.05471     0.43352      12.263      4.7496   -0.080535
108           8.6458    0.078939   -0.028714     0.10705       2.819     -5.0743    -0.42997
109           20.658     0.17456    0.026979     0.93852      6.4257      2.0953     -1.0072
110           21.859     0.62409   -0.022002     0.32446      7.9415     -5.9615     -5.6151
111           17.635     -0.3031     0.19722     0.16331      10.742      3.8945     0.30412
112           6.9031     0.21698    0.074973     0.17965      4.0963     -5.0576      1.0719
113           25.255    0.035642   0.0051664   -0.021991      2.5396      21.953     0.55752
114           93.223    -0.33443    0.063969      0.1966      12.131      -40.66     0.54219
115           20.017    -0.17504   -0.022065     0.13085      8.0891      4.6788     0.64275
116           1.5337     0.55022   -0.047135   -0.052965      1.1921      1.2841      0.2806
117           186.54    -0.23304    0.059906     0.91322      51.131      -7.859     -1.0603
118          -10.252     0.23381   -0.015884     0.14935     -2.0633      0.6853    -0.35926
119           2.8942     0.13155   -0.033925     0.17414       2.064      1.5816     0.30796
120           5.8571    -0.16852    0.096655     0.14942       1.314      1.3972    0.061086
121          0.33903    -0.45868   -0.081445    0.025112     0.19918      1.0705     0.27723
122         -0.31086     0.24424   -0.055728     0.13374   -0.086567     0.95962     0.30953
123             15.2     0.80514     0.45795     0.26626      5.5791      1.5079    -0.44317
124            13.39   -0.038523   -0.044131     0.25434      8.4481      2.7199     -1.8978
125           -9.196    -0.13917   -0.061794    -0.03915     -1.6973     0.51652     0.94144
126           9.8863   -0.034301   -0.074231     0.21812      4.3029      28.666   -0.068093
127           6.1955     0.18059  -0.0072542   -0.040452      2.9618     -2.9818     0.71991
128           16.979    -0.44791   -0.068568     0.40539      4.3282      3.6279     0.20462
129           25.913    -0.11579   -0.086776   -0.039834      6.0077    0.040755      2.3484
130          0.53669    -0.19941    0.060655     0.16565     0.22626      1.0745     0.19895
131           30.095    -0.29662   -0.028205     0.49559      22.722     -2.9401     0.50559
132           21.513     0.36464     0.56238     0.41575      2.2448      1.4575      0.7007
133           3.7168     0.71359   -0.048093     0.24836      2.6716      2.6257      0.4514
134           6.9318    -0.31163   -0.061498 -0.00089053      7.0883     -6.8706     -1.5897
135            32.42    0.092994   -0.042361     0.34099      24.241      14.309     -6.0009
136           6.4152    -0.33483   -0.089163     0.12671      6.5681      2.1545     -1.1961
137            3.863      0.1455   -0.050406    0.029589      3.9989      3.6313    -0.55807
138           3.6921     -0.1956    0.078976     0.28912      4.4788      1.4145     -1.5088
139           35.228     0.11475   -0.030281     0.31414      11.675     -2.1033     -1.4397
