ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
17            -2.332     0.11395    -0.01116   -0.066047     -0.2316     0.88018     0.51851
25           -14.273     0.54313   -0.028755   -0.073218     -1.1567     -1.1261      0.9888
26           -11.804   -0.038741    0.049209   -0.081298      -1.327     0.69766     0.44542
27           -8.7053     0.39534    0.014373     0.11337     -1.6153     0.72673    -0.25251
32           -18.044     0.25273    0.042721   -0.074899     -2.8587     0.47698    0.039374
35           -20.673      0.2027    0.023092   -0.098172     -2.3983      0.4351     0.48645
39           -4.9459    -0.13569   -0.050227   -0.086725    -0.34849      0.8622     0.30868
53           -11.715    -0.13998   -0.022859    -0.01587     -1.3052     0.71813     0.51572
55           -10.162   -0.009522   -0.072961     0.18584    -0.95668     0.77612     0.56957
57            1.1269     0.37117   -0.032581   -0.052139    0.092837      1.0369     0.67153
125          -6.6309    -0.52952  -0.0092609    0.002743     -1.3082     0.68636    -0.31238
136          -35.145   -0.081775   -0.046648    -0.13905     -2.0362    0.067524     0.91202
137          -4.0329    -0.14124  -0.0010839    0.080592    -0.75811     0.76041    -0.16139
140           2.3306   -0.059453   -0.061833    0.047639     0.33505       1.344      1.3006
144          -13.605    -0.44461   -0.053712    0.068519     -2.3756     0.59338     0.57271
145          -12.692   -0.064432    0.037894   -0.066193     -2.0371     0.50699     0.69821
157          -21.725     0.29229  -0.0010163 -0.00033828     -2.8173     0.27932     0.73125
159          -16.165     -0.2216   0.0018698    -0.11101     -2.7742     0.46411     0.57023
161          -5.2796     0.25482    0.013608   0.0018067    -0.76462     0.79724    0.039506
163          -12.042    -0.29321   -0.054162 -0.00025405     -1.7198     0.62688     0.52898
166          -12.806     0.71049   -0.060802   -0.049758     -1.3706     0.59902     0.78086
169          -27.806    -0.35605   -0.027671   -0.081824     -3.7648     0.50616     0.75977
173          -20.454    -0.01731  0.00084513   -0.052967     -1.8921     0.66646     0.27555
174            -26.7     0.29575   -0.013956    -0.03787     -2.6469  -0.0074146     0.39215
176          -10.266     0.35295  -0.0054193    -0.08491     -1.6043     0.69832     0.16211
179          -6.5313     0.41506  -0.0017857   -0.070663    -0.81778     0.39399     0.45703
180          -8.2621   -0.037777   -0.072258   -0.060318    -0.68641     0.60546     0.43888
181          -16.114    -0.10157  -0.0015051   -0.088662     -1.7504     0.40296     0.67411
184          -4.6117    -0.01945   -0.033614     -0.1009    -0.41059     0.81789     0.19494
185          -11.944     0.12617    0.027272    0.082305     -1.4192     0.43911     0.15673
187          -10.208    -0.38975   -0.051427   -0.032909     -1.2399     0.57276     0.82186
188          -3.6925     0.37071   -0.061083   0.0077284    -0.53517      0.5544     0.85481
192         -0.54668    -0.35647   -0.051574   -0.077631   -0.065298       0.971     0.37075
193          -8.1705     0.47109    0.036549    -0.11152     -1.1597     0.24202     0.71476
194        -0.033869     0.56825   -0.025124    -0.06837  -0.0041027       0.974     0.25557
198          -6.0046     0.19344    0.013248     0.08877    -0.68231     0.77065    -0.03592
199           6.1732    -0.24875   -0.099175   -0.019234     0.78498     -12.001   -0.061857
202           4.8024     0.41813    -0.14023    -0.12361     0.35855      1.6393     -0.6858
203           -17.77   -0.040657   -0.051119    0.047767     -2.1082     0.33446      0.6057
204          -8.3112     0.26599   -0.099552    0.074753     -1.0183     0.62765   0.0076918
206           13.536     0.18164    -0.11075    -0.10969      1.6865     -1.1299    -0.83413
207          -17.909    -0.25586   0.0029067   -0.051462     -1.8844     0.42693      1.3693
209           1.2826  -0.0073368   -0.021513    0.033979     0.14127      1.1229      1.1194
