ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
15          -0.60364     -0.3378   -0.093349   -0.058239   -0.037569     0.95766      1.0242
19            1.9211     0.23885   -0.056145     -0.1061     0.70671      1.0677    -0.12926
21            3.3453    -0.14612   -0.052239    0.034422      1.4433      1.1849     0.32922
24           -6.4414    0.033549   -0.095316    0.040901     -2.2898     0.75031     0.24525
30           -20.017     0.23693   -0.079963    -0.08002     -5.8659       0.489     0.30087
32            23.454     0.10922   -0.098757     0.19747      8.2922      9.2287     -1.7716
36            7.0937      0.2355   -0.088729    -0.12767      1.1431      1.1719    -0.37603
45           -4.2835     0.74812   -0.037505     0.15007     -1.1552     0.79257    0.036842
49            2.8574     0.33132   -0.037694   -0.069232     0.45638      1.2093     0.51085
50            2.2423     0.27107   -0.035106     0.14581     0.89954      1.1108    -0.19646
52           -10.209    0.015157   -0.043133    0.038046      -5.055     0.53408     0.29038
53           -6.2793       0.527    -0.10266   -0.023237     -1.7839      0.5812    -0.59285
56         0.0091426    0.070284   -0.031006     0.11554   0.0028328      1.0004     0.10477
60            6.7429    -0.54288   -0.033834   -0.091781      2.7159      1.3766   -0.064747
64            6.5352    -0.11896   -0.043609   0.0069699      1.1415      1.3815     0.40183
71           -11.456     0.46634   -0.079163    0.019391     -2.2262     0.65829    -0.16884
76             1.311    -0.48782   -0.065249    0.078527     0.33412      1.0964    0.068278
77            1.2254    -0.50322   -0.066798    0.020552      0.2934      1.0878    0.080973
79           -4.3485    -0.27906    -0.13278   -0.062328     -1.3574     0.73969     0.44279
83           -9.2354    -0.10155   -0.062905   -0.011054      -2.324     0.66244     0.31927
84           -6.2296     0.23137    -0.03339    0.099388     -1.0012     0.73326     0.33936
109          -19.193     0.39909    -0.10763    -0.10267     -3.3631     0.70898    0.037595
133           -3.517     0.28403   -0.044472   -0.016949    -0.94817     0.90128     0.28559
136           9.3909     0.38434   -0.074188     0.10375      1.6869      1.2358     -2.0181
138          -3.9493     0.11059   -0.045008   -0.040187    -0.96664     0.84077    -0.50973
140           4.9067   -0.012646   -0.034712   -0.065921      1.1817      1.1238    -0.58577
141          -0.1815   -0.079251   -0.042414  -0.0019135   -0.068116     0.98725     0.61033
143           -8.762    -0.20368    -0.10073   -0.039933      -1.759     0.86255     0.45152
144          -4.1881     0.16192   -0.043218   -0.073842    -0.51567     0.89702    0.080355
152          0.88044     0.46719   -0.078379    -0.05877     0.11641      1.0151     0.58304
157           1.1891     0.18672   -0.042339    0.076926      0.3181      1.0971     -0.4628
162          -5.7139     0.44608   -0.028633   -0.058465     -1.2287     0.73421     0.58251
171         -0.75753    -0.14818   -0.080587    0.031299    -0.32516      0.9064    -0.73812
172         -0.42989    0.097428   -0.064821    0.085504    -0.12043     0.95767    -0.48568
173          -4.9942     0.41371   -0.064354     0.16625     -1.7738     0.70671     0.78118
179            6.267  -0.0059444   -0.051749    0.054191      1.3184     -1.2206      1.9781
184           2.8555    -0.20907    -0.11514     0.13239       1.188      3.2954      1.1961
187          -3.4064     0.45766    -0.09503   -0.038051     -1.0626      0.5262      0.9768
190           -11.54     0.30406   -0.048614   -0.076996    -0.75399      0.6172   -0.066951
200          -7.5797     0.11569    -0.10627   -0.038908      -1.459     0.40315    -0.72239
201           -2.813     0.28605   -0.030802    0.092275     -1.0449     0.78302     -0.1412
207           1.4764    -0.65726   -0.094955   -0.039736     0.68759    -0.33273     0.34665
