ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             -10.94     0.62833   -0.058842   -0.056825     -2.2669     0.75644    -0.18945
1            -4.3146      0.3463      0.1261    0.062251    -0.98066      0.8706    -0.24162
2            -15.835     0.24844    -0.11676    -0.13691     -2.9315     0.52311     0.58592
3            -13.428     0.51928  -0.0066103   0.0086527     -3.3252     0.70508   -0.090103
4             -7.529     0.30148    0.077247   -0.025344      -2.084     0.75304     0.32115
5            -15.477     0.21835     0.23723   0.0033955     -2.7423     0.64981      0.5745
6           -0.67591      0.6863     0.93329      0.1131    -0.15555     0.98671     0.10084
7            -20.908    0.031958    0.071132   -0.018263     -3.0378      0.5624     0.73852
8             -4.825     0.37136     0.13666    0.045077     -1.0864     0.88826     0.48888
9             -8.689     0.44019     0.09078   -0.075062     -2.7245      0.6519     0.56066
10           -15.966     0.22895    0.055865    0.027855     -2.4136     0.62542     0.64497
11           -7.3624      0.8324  -0.0076485   -0.071132     -1.7747      0.8629   -0.028962
12           -26.612     0.26956   -0.013993   -0.041566     -6.1805     0.47129     0.72589
13           -10.123     0.41888     0.31344     0.11735     -2.5597     0.83147     -0.1989
14           -11.724     0.36234     0.16139     0.05334      -2.778     0.72739    -0.16148
15            -14.41     0.69027      1.1907     0.35314     -2.1931     0.71114     0.37647
16           -12.611     0.18444     0.26731    0.038023     -2.6689     0.70013     0.46762
17           -9.8441    -0.38154  -0.0065738   -0.087204     -1.4276     0.83783    0.080695
18           -5.9772    -0.37461    -0.12692   -0.056679    -0.64218      0.7883      1.3388
19           -3.8603     0.41461    -0.11646    -0.11575    -0.77844     0.89319    -0.37316
20           -13.725   -0.022525   -0.082511    -0.10518     -2.1204     0.66227     0.52954
21           -9.7647     0.28139    0.060999  -0.0034559     -2.7899     0.65258     0.23818
22            -10.21     0.54378   -0.043555     0.09326      -2.216     0.79419     0.14172
23           -13.485     0.42452   -0.050157   -0.093909     -2.9517     0.72363     0.42393
24             3.016     0.21528      0.1051   -0.038837     0.26473      1.2121     0.74258
25           -14.482    0.094677   -0.092257   -0.093293     -2.0399     0.60908     0.39948
26           -8.0326     0.69671     0.20818  -0.0058336     -1.7102     0.86315   -0.076727
27           -13.054     0.25874   -0.063798   -0.029008     -2.7838     0.65099     0.61539
28           -18.421     0.16466     0.15668   -0.021402     -4.4585     0.60899     0.56535
29           -2.5455     0.29767   -0.046329   -0.068875    -0.44853      0.9141     0.56904
30           -9.5224   -0.085384    0.041553   -0.018159     -1.5309     0.73611     0.40571
31           -10.514     0.68303     0.67371    0.069271     -1.6354      0.7783    -0.15176
32           -2.9401     0.30262    -0.10215    -0.07255    -0.55599     0.87138     0.63388
33           -5.7434    0.099554     0.21036   -0.017546     -1.3685     0.88181     0.42809
34           -20.893    -0.14714   -0.058898   -0.068638     -3.3014     0.51167     0.70449
35           -1.1377     0.18783     0.19996   -0.035763    -0.14748     0.95443     0.70106
36           -7.5449    0.073478   0.0082068   -0.033371      -1.598     0.79961     0.50215
37           -15.154     0.67218     0.17311   0.0025445     -3.3005     0.70573     0.31837
38           -14.597     0.29155  -0.0083457   0.0013889     -3.5782     0.60365     0.50882
39           -11.297     0.40238     0.39629   -0.070946     -1.3826     0.77282     0.65296
40           -49.308    -0.13106    -0.03944    0.016599     -4.5272     0.43421      0.9509
41           -11.263    0.014434  -0.0040732   -0.044077     -2.1896     0.68816     0.64109
42           -15.705   -0.059315   -0.099632   -0.093528     -2.8522     0.53538     0.90267
43           -18.609     0.41855    0.037413    0.025795     -4.0551     0.67027       0.247
44           -7.8735     0.40407     0.16744 -0.00038084    -0.90382     0.81538     0.76037
45           -1.2995     0.63304     0.60771   -0.062524    -0.28627     0.97354     0.51378
46            3.2759     0.36217     0.65956     0.38394     0.80439      1.0724     0.70919
47           -17.631    -0.10504   -0.018778  -0.0069568     -3.3229     0.60116     0.70308
48           -8.1135     0.58749    -0.10905    -0.10744     -1.7907     0.80048     0.20495
49           -5.5554      0.4433     0.15037   -0.040755    -0.78411     0.82213     0.50774
50             2.089     0.28919    0.012372   -0.066191     0.30818      1.0805     0.52663
51            2.8832     0.80405     0.43413     0.17747     0.58004      1.0794    0.037751
52           -5.1182     0.20829     0.25144    0.029173     -1.0633      0.8898     0.56963
53           -15.954     0.20946   -0.094825   -0.049968      -2.403     0.66737   -0.079727
54           -5.2368     0.29273   0.0027144   -0.042116    -0.70186     0.76464    -0.31311
55           -40.305    -0.17455   -0.079888   -0.075059     -4.9173     0.50781     0.96993
56           -9.7699    -0.20008    -0.13491    -0.13864     -1.4506     0.57957      0.9381
57           -8.9722    0.075772     0.32782    0.064894     -1.8867     0.80609     0.56938
58            -3.117     0.34587     0.38973     0.21987    -0.70481      0.9278    0.038215
59           -16.715      0.3836   0.0063732  -0.0010095     -3.0066     0.57676     0.31875
60           -10.896     0.69926      1.0839    0.042452     -2.6384     0.77559     0.53257
61           -11.371     0.61023      1.1086      0.2011     -2.5354     0.76224     0.18884
62           -17.951    -0.24029   -0.096432    -0.10953     -2.3763     0.55799      1.0481
63           -13.913    -0.45558   -0.035514   -0.052307      -2.923     0.67998     0.36373
64           -21.929     0.82159     0.48696     0.22406     -3.2844     0.64554     0.31599
65           -13.011      0.5849     0.51002     0.15035      -2.135      0.7635     0.25932
66           -36.845     0.20438   -0.064925    0.018619     -3.6995     0.45388    -0.29813
67           -7.3427     0.58219      1.0202     0.10833     -1.6664     0.86079     0.28757
68           -12.396      0.6901     0.26296     0.19974     -2.0606     0.69195   -0.024692
69            -7.011    -0.34266   -0.089939   -0.079069    -0.59901     0.76211     0.61115
70           -43.749    0.090892    -0.10494    -0.11069     -8.7723     0.38862     0.26331
71           -6.7778     0.38364    0.038239   -0.068589      -1.649     0.80557     0.13074
72           -9.9097     0.70833     0.25369   -0.050417     -2.0859     0.77359     0.54652
73           -5.9718     0.50768     0.82424    0.017169     -1.1601     0.90102     0.36055
74           -6.8398     0.65694      1.0428     0.16238     -1.5025     0.82707     0.45029
75           -2.6471     0.71936     0.25814     0.17168    -0.47673      0.8484     0.23696
76           -10.903     0.81422     0.79534     0.81008     -1.9454     0.77361     0.13774
77           -6.1146    -0.16699     0.15706    0.041906     -1.0778      0.7977     0.85712
78           -48.417   -0.031277   -0.013393   -0.091941     -7.2557     0.53392     0.72719
79           -16.621     0.66017      1.1485     0.26586     -2.6486     0.69087     0.44204
80           -22.428     0.88677      1.3875     0.26377      -3.285     0.64179     0.57335
81           -12.622     0.75286     0.58665   -0.022921     -3.0057     0.72905     0.50575
82           -17.445     0.50026   -0.023266   -0.093228     -1.9694     0.71989     0.53312
83           -9.6407     0.40809    0.092805  0.00020131     -0.9626     0.77318     0.45378
84           -14.542     0.67039      1.1105     0.12849     -3.5166      0.7111     0.52604
85            -14.04     0.59307      0.7365      0.2345      -2.429     0.70211     0.69116
86           -12.802     0.36417     0.10476     0.05999     -2.1167     0.69523     0.25259
87           -5.9081     0.55368     0.74908     0.43018     -1.3277     0.83145     0.16276
89           -8.6937     0.30409    0.050102   -0.048454     -2.2539     0.79902     0.46448
90           -15.166     0.83612     0.47393     0.10747     -2.3868     0.73044     0.23333
92           -14.115     0.56452     0.29833   -0.012299     -3.5639     0.65503     0.66821
93           -11.158     0.39993      0.7452    0.039404      -2.755      0.7861     0.62682
94           -22.324     0.42711    0.073626     0.29069     -2.4037     0.61902    -0.16714
95           -13.267     0.47929     0.55174     0.28933     -2.1948      0.8231     0.24064
96            -24.84     0.82239     0.98351     0.83396     -6.2029     0.62617     0.44392
97           -7.5202     0.79422     0.38133  -0.0046794     -1.6591     0.82553      0.3538
98           -24.189     0.89374     0.78889     0.28632     -4.0541     0.67559      0.3258
99           -28.913     0.71222     0.26058    0.059942     -5.2691     0.51286     0.32718
100          -39.316     0.48634   -0.078836   -0.075392     -4.5902     0.51985     0.54462
101          -18.782     0.70805      1.4216     0.40795     -4.1853     0.60348     0.41445
102          -16.105     0.84974   -0.026236   -0.064633     -3.5977     0.60478      0.3115
103          -8.7442     0.77639     0.75828     0.19686      -2.271     0.81362     0.26391
104          -13.074     0.51543     0.58561   -0.036913     -3.6141     0.70421     0.56604
105          -25.332     0.28955     0.29107     0.15519     -4.0525     0.57039     0.29473
106          -5.2185     0.68402     0.72246     0.25215     -1.7274     0.84161    -0.24131
107          -20.107     0.45797  -0.0043023    -0.11132      -5.163     0.62438     0.50419
108          -12.535     0.56767     0.18379   -0.053179     -2.9402     0.71721     0.38917
109           -7.617    0.075261     0.16196   -0.033882      -1.884     0.80066     0.39642
110           -8.133     0.37313     0.17629    0.087808     -2.3163     0.77174     0.58337
111          -23.173      0.3895    -0.11643    -0.12518     -2.8101     0.66905      0.2677
112           -3.882     0.54033     0.28685    0.031061     -1.0651     0.86813     0.32009
113          -38.256      -0.361   -0.017369   -0.081642     -4.8524     0.44286     0.89343
114          -9.8794     0.65269   -0.089659    -0.10045     -1.1881     0.86162    -0.13101
116          -13.699     0.84648      0.7673     0.14229     -1.8153     0.72353      0.5377
117          -8.5378     0.81163     0.59798     0.18595     -1.6778     0.86813     0.31735
118          -11.524      0.6028     0.38506     0.40859     -1.8037     0.71742        0.33
119          -7.1497     0.40756     0.21413    0.098034     -1.7806     0.74193    0.044979
120          -21.935     0.61202     0.44036     0.08837     -3.0362     0.63866     0.45393
121          -0.2004     0.23892     0.07392    0.017167   -0.050129     0.99084    -0.41724
122          -37.581    -0.81859    -0.12522    -0.11385     -6.5603     0.45219     0.64535
123          -24.414     0.75648       1.333     0.31508     -4.5382      0.6374     0.41725
124           -14.12      0.2671     0.25601   -0.022963     -3.0543     0.75578     0.38477
125          -26.345     0.82107    0.030105   -0.087707     -3.1088     0.70465     0.40648
126          -14.353     0.21299  -0.0013257   -0.085323     -3.1436     0.68603     0.23425
127          -10.202     0.62348   -0.073383    -0.11667     -2.4739      0.7002     0.37189
128          -16.038     0.16509     0.47978    0.077322     -3.1557      0.7245     0.37366
129          -5.2299     0.56213     0.46915       0.224     -1.7694     0.82168   -0.058251
130          -3.1412     0.23284     0.32712     0.15295    -0.75144     0.87161   -0.059781
131          -26.638     0.33577      0.5422    0.018784     -3.0104     0.56682     0.62513
132           -27.72     0.27758   -0.092058   -0.052065      -6.843     0.37783    -0.16038
133          -15.704     0.73403     0.86791     0.24663     -3.1396     0.71711     0.43745
134          -19.569     0.52314     0.18342     0.10988     -4.5513      0.6289     0.44475
