ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0              2.803     0.30255    -0.07163    0.015684      1.0056      6.6362     0.37563
7             1.0808    0.072654   -0.043385    -0.12482     0.48022      1.2138     0.77517
8            -3.7717    -0.66814   -0.095844    -0.10089     -1.8109     0.51165      1.0702
9            -2.0092     0.49418   -0.068327    -0.12807     -1.0234     0.78917     0.39659
11         -0.073671    -0.20759   -0.082801   -0.091597   -0.030015     0.99286     0.71631
16           -3.4522     -0.2003   -0.072457    -0.13612    -0.62658     0.59518      1.0655
21           -4.1043  -0.0068673   -0.069635   -0.053218     -2.6989     0.74138     0.38379
23           -10.058    -0.10636   -0.077073   -0.029147     -4.0927     0.34806     0.75779
24            17.813      0.4049    -0.05085   -0.069557       6.063       2.562     -1.3743
30             3.089     0.04745   -0.088626    -0.11965     0.79314      1.6301   0.0024813
36           -4.4009    -0.24953   -0.076124    -0.03268     -4.3368     0.28763      1.2519
40           0.11433     0.26845   -0.068351     0.02562    0.073307      1.0287     0.95853
44           -2.0499   -0.037715   -0.093135    -0.11276    -0.39945     0.83714      1.1377
47            0.9782     0.81199     -0.0439   -0.069536     0.68894      1.9111     0.15403
50           0.11784    -0.38843   -0.040819    0.031903     0.11575      1.0464      1.3321
51            0.8002    -0.40501   -0.052275   -0.081341     0.45888      1.1433     0.74653
54            9.6212    -0.19023   -0.077181    -0.13836      1.5542     -2.4476     0.50454
56           -2.5475     0.18573   -0.044887   -0.053355     -2.4646     0.80713     0.22466
59            15.351     -0.3197   -0.093778    -0.10854      4.6549    -0.43306      13.387
64           -7.3833   -0.069816   -0.039296    0.066334     -2.5073     0.68604  -0.0086797
65           -6.9761     0.41323   -0.054257    -0.10446     -3.7132     0.68298     0.35362
71            1.6688     0.16339   -0.040282   -0.097899      1.2214      1.3535     0.12329
82           -11.078     0.30344   -0.072841    0.019133     -6.1876     0.43304     0.25794
83            -2.607    -0.23654   -0.074104    -0.13455    -0.63293     0.42374      1.0405
84           0.60573     0.61061   -0.059169   -0.055567      0.3321      1.3989    -0.50632
89          -0.37045    -0.16509   -0.041662   -0.092349    -0.10009     0.93592     0.41671
90          -0.27377     0.39284   -0.089214    -0.10769    -0.14513    -0.77534     0.91805
91            4.2553     0.15712   -0.048925    0.088628      1.0981     0.25657   -0.062255
94           -13.558   -0.041649     -0.1014   -0.068915     -3.1661     0.51644      0.7462
97           -1.1918    -0.48399   -0.066583    -0.10593    -0.43869     0.81576     0.76191
108           5.3327     0.17705   -0.075688   -0.062713      1.6551      1.4581      0.5123
109          -6.4481     0.52539   -0.074827     0.13642     -4.9617     0.45322     0.70907
111          -4.0437    -0.41864    -0.12845   -0.050367     -1.2627     0.62205      1.7339
114           1.4577    0.087255     -0.0385   -0.060534     0.52726      2.4368     0.61424
116           2.8818     -0.1582   -0.043523  -0.0073792     0.76641     -3.0193      1.6234
121           7.1828    0.045768   -0.050156   -0.059575      3.1526    -0.10636      3.6583
122          -1.0223     0.30129   -0.040171   -0.083431    -0.73424     0.81546     0.21208
123          -1.9794    -0.14827   -0.068936   -0.039252     -1.3229     0.35359     0.95123
125          -5.3942     0.19358    -0.06146   -0.071849     -3.2766     0.45135      1.2681
130           -2.569      0.5845   -0.048332     0.31262     -4.0136     0.63931    -0.14825
133           1.7363     0.43872   -0.036288   -0.039209     0.66524     0.60093      1.7643
