ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
21            14.611     0.10731    0.048522     0.16902      1.4269       1.324    -0.15729
23            9.4902    0.068496   -0.023594     0.17913      1.7434      1.2486     -1.0639
24            -7.392     -0.2024   -0.037743   -0.081964     -1.5573     0.77742     0.19728
29            7.7481     0.48641    0.072297     0.44926       2.081      1.2843    -0.83995
30            6.8231   -0.062739    0.044888     0.37896      1.2719       1.186    -0.15261
31            7.7649     0.46854    0.063531     0.23951       1.777      1.1708     -0.6575
37          0.012685     0.37066   -0.026063    0.062312    0.001554      1.0003     -0.6004
42           -5.5584   -0.074508    0.048165     0.11451     -1.0615     0.84362     0.50482
44            7.7652     0.33678    0.061563     0.16151      1.3108      1.1872    -0.31402
45            3.2984   -0.053728   0.0058715    0.040685     0.61421      1.0817    -0.26794
50            -8.908    0.022342    0.010449   -0.068558     -1.3042     0.83204    0.074441
53            4.1303     0.53137   -0.054027    0.051323      1.0671      1.1283    0.034421
55            8.5002    0.017005   0.0046187   0.0057444      1.8769      1.3367    -0.32888
60            17.187      0.1343   0.0032838    -0.08589      3.1492      1.7818    0.025571
61            1.1902    -0.10046   -0.060039    -0.06867      0.1281      1.0455    -0.15787
62            1.1527     -0.5405    0.033977   -0.028567     0.21949       1.034    -0.36718
63           -5.0718    0.044222   -0.049371   -0.077116     -1.0118     0.86479    0.020463
64           -4.7293    0.060728   -0.022205   -0.045644    -0.67224     0.88676     0.24811
65           -1.6913    -0.32773    0.037661   -0.040247    -0.39787     0.95402    -0.21976
67            6.6963     0.18736     0.04122    0.036249      1.7421      1.2226    -0.20201
70           -6.8533     0.25239    0.010212   -0.071589     -1.7051      0.8378     0.28885
73           0.46011     0.28217    -0.06789   0.0095417     0.10123      1.0175    -0.42921
80           -1.6084    -0.31526    0.053262    0.074053    -0.35214     0.95091    0.098371
82           -3.6624      -0.224   -0.052476   -0.036064    -0.70798     0.90242   -0.043456
84            4.3768     -0.1749  0.00053003   -0.083968     0.88242      1.1361    -0.19142
87            8.7512     0.41468   0.0040663    -0.10897      1.7797      1.3649     0.13061
93           -5.4232     0.15132    0.050812   -0.050455     -1.1337     0.85323     0.46659
104          -11.866     0.04194    0.050843  -0.0030202     -2.3913     0.78354     0.39901
111          -6.0616      0.3245   -0.061646    -0.10982    -0.41897     0.86933  -0.0016384
128           -1.855    -0.15164    0.072187  -0.0047624    -0.38407     0.94881     0.53969
136           23.975     0.14005   -0.046797      0.2066      5.0829      1.7407     -1.7804
138           7.9547     0.20136    -0.03755   -0.028825      1.8587      1.2845    -0.39904
139           7.2844     -0.1029   -0.023727    0.013908     0.70977      1.2072     0.77661
142            8.675     0.40593   -0.083271     0.11014      2.5488      1.2562     -1.2016
144           8.9466    -0.31768    -0.10372    0.027208      2.3395      1.2868     0.24129
145           9.8081    -0.28442    -0.08682   -0.070439      1.7053      1.3059     0.02249
150           15.709   -0.070051    0.066557     0.13301      4.0791      1.6851     0.39884
151           7.7904      0.4422    0.017988 -0.00042397     0.89038      1.2348     0.21601
153           7.2924    0.035384    0.044336   -0.026535      1.5008      1.1807    -0.22364
154           9.5287     0.11819   -0.047171   -0.049669     0.72385      1.1767     0.71271
157           34.221    -0.23067   -0.060105     0.89261       11.14      2.6139     -1.4914
158           31.649   -0.039663   -0.042756    -0.03062       4.148      2.0685    -0.48793
160           18.502     0.26693   -0.057999   -0.018203      3.8434       1.898    -0.43642
166          -4.5045     0.35599    0.058432    -0.04119    -0.60424     0.90764    -0.11109
167           5.4877     0.37406   -0.039245    0.023803      1.3759      1.2728    -0.99725
168            10.84     0.24397    0.049703    0.039857      2.1635      1.9334      0.6982
171           -5.697  -0.0023959   -0.099132    -0.11111     -1.0716     0.79228   -0.081314
175           5.9463     0.26241   -0.004132   -0.008245     0.98732      1.3962     0.77564
178           11.437    -0.21682   -0.024022    0.026909       3.168       1.936     0.24013
179           1.8986   -0.041928   0.0077516     0.01438     0.37379      1.0966     0.66145
182          -5.5166     0.09002   -0.069201       -0.09    -0.84753      0.7411     0.70277
183           2.5747     0.22285  -0.0030344   -0.053091     0.66351      1.1364     0.38393
184            23.29    0.029609   -0.042524 -0.00099641      6.6728      2.6841     -1.0483
188           5.6982     0.13871   -0.073315     -0.0928     0.77249      1.1432   -0.055393
189          -5.8379     0.10872   0.0085321    -0.12816     -1.1317     0.62188     0.40427
190           11.776     0.47345   -0.072445    0.041721      2.8536      2.8716    0.062805
193         -0.30255    -0.03668   -0.067627   -0.079941   -0.099536     0.97909     0.59359
195           7.5853    0.057805    -0.12564    -0.10439      1.8224      2.0832    -0.10312
196           6.0513   -0.016998     -0.1166   -0.051004      1.4953      1.3091    -0.81344
200           2.9756    -0.52176    -0.11375   -0.097912     0.70932      1.4079     0.36645
202           2.4033    0.060935    -0.10155    -0.12578      0.3989      1.2212     0.76342
206           4.2087    -0.27771    -0.11662   -0.014015     0.90563       1.427    -0.89311
207          -3.3031   -0.099275    -0.07526    -0.11677     -1.2583      0.7575     0.37321
210         -0.51441     -0.5876    -0.11105   -0.041874    -0.14347     0.96949     0.13147
212           2.8563     0.12232   -0.086634    -0.12829     0.40307        1.34      1.1961
213          -4.6692     0.23562    -0.11634   -0.045693     -1.3179      0.6549     0.22899
