ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
10            6.5957     0.39036   -0.056937      0.1387      1.5056      1.2701     -0.1084
17            132.42    -0.25943   -0.022443   -0.085124       53.79     -71.085     -6.8526
19            5.6894     0.39059   -0.056329     0.11329      2.7152      1.3308    0.096237
20           -2.0472    -0.17223     -0.1166      0.1801     -1.0621     0.91934     0.21734
22            1.6771     -0.2185   -0.060709  -0.0052559     0.82782       1.101     0.88954
27            7.7737    0.061045    -0.10028     0.25402      2.1184       1.244    -0.57497
28            3.1276    0.075352   -0.054599    0.015454      6.1931       1.779    -0.93389
30             17.37     0.37711   -0.054651     0.01499      5.2198     -1.4385      -0.642
31            23.806    0.038764   -0.068861      1.2885      10.835      2.6974     -1.7565
35            11.737     0.28372   -0.094477      0.4002      5.9214      1.8286      -0.547
36           0.81723     0.30946   -0.091555     0.14668     0.68793      1.0986    -0.62362
38            15.939     0.12623   -0.051674   -0.030219       3.829    -0.70015   -0.075845
45            3.2883     0.19732   -0.059415     0.12802       4.702      1.8449     -1.5397
48           -12.319    0.019974   -0.042871   -0.021113     -3.4604     0.68277     0.34023
50            3.9936    -0.40611    -0.10677     0.14802      2.3842      1.3344     -1.7038
56            9.0029     0.25167   -0.068755    0.017231      3.4902      1.8359    -0.28047
77            11.646     0.24557   -0.096126   -0.045481      2.6556      1.8766    -0.88813
81           0.91891     0.20137   -0.068304     0.14376     0.67683      1.1038     -0.2098
88            62.937    -0.48562   -0.045828     0.21749      18.788     -4.6849    -0.32351
89            12.892   -0.019919   -0.052899     0.47211      5.0031      2.5876     -0.6211
99           -2.0346      0.4564   -0.028969     0.12767    -0.74313     0.88148    -0.37044
100           10.165     0.30905   -0.049707   -0.010414      4.9277      5.4694     -2.3128
102           3.2021       0.302   -0.058676    0.034226      0.5622      1.0985    -0.37459
103           27.472     0.22112   -0.040354    0.039519      1.7337     -457.35    -0.42689
105           12.571     0.32018   -0.028893    0.096756      2.8419       1.843     0.55015
108           8.6458    0.078939   -0.028714     0.10705       2.819     -5.0743    -0.42997
116           1.5337     0.55022   -0.047135   -0.052965      1.1921      1.2841      0.2806
119           2.8942     0.13155   -0.033925     0.17414       2.064      1.5816     0.30796
121          0.33903    -0.45868   -0.081445    0.025112     0.19918      1.0705     0.27723
122         -0.31086     0.24424   -0.055728     0.13374   -0.086567     0.95962     0.30953
124            13.39   -0.038523   -0.044131     0.25434      8.4481      2.7199     -1.8978
125           -9.196    -0.13917   -0.061794    -0.03915     -1.6973     0.51652     0.94144
126           9.8863   -0.034301   -0.074231     0.21812      4.3029      28.666   -0.068093
128           16.979    -0.44791   -0.068568     0.40539      4.3282      3.6279     0.20462
129           25.913    -0.11579   -0.086776   -0.039834      6.0077    0.040755      2.3484
131           30.095    -0.29662   -0.028205     0.49559      22.722     -2.9401     0.50559
133           3.7168     0.71359   -0.048093     0.24836      2.6716      2.6257      0.4514
134           6.9318    -0.31163   -0.061498 -0.00089053      7.0883     -6.8706     -1.5897
135            32.42    0.092994   -0.042361     0.34099      24.241      14.309     -6.0009
136           6.4152    -0.33483   -0.089163     0.12671      6.5681      2.1545     -1.1961
137            3.863      0.1455   -0.050406    0.029589      3.9989      3.6313    -0.55807
139           35.228     0.11475   -0.030281     0.31414      11.675     -2.1033     -1.4397
